"statistic","method","estimate","bootstrap_mean","bias","bias_corrected_estimate","std_error","percentile_lower","percentile_upper","bias_corrected_lower","bias_corrected_upper"
"mean(X)","explicit loop",0.0489182800240251,0.0499499080049806,0.00103162798095556,0.0478866520430695,0.0608761503783616,-0.0720587465270479,0.172626221867436,-0.0747896618193858,0.169895306575098
"slope on X","explicit loop",-2.03816460543628,-2.03665089593496,0.00151370950131557,-2.03967831493759,0.0325894402603261,-2.10278851203203,-1.97456989159765,-2.10175931927491,-1.97354069884052
"mean(X)","boot::boot",0.0489182800240251,0.0499499080049806,0.00103162798095556,0.0478866520430695,0.0584787306577304,-0.0661629902434871,0.161687878436392,-0.0638513183883414,0.163999550291537
"slope on X","boot::boot",-2.03816460543628,-2.0368244297216,0.00134017571468181,-2.03950478115096,0.0335544773508991,-2.10447609479418,-1.96974201168696,-2.1065871991856,-1.97185311607838
